batch_start,batch_end,mean_drift_score,ema_drift_score,adaptation_alpha,signature_weight,random_forest_weight,lstm_weight,transformer_weight,stacked_meta_weight,rolling_attack_rate,bias
0,4096,1.0,0.625,0.3,0.0846,0.2578,0.1115,0.2681,0.2779,0.4933,-0.0017
4096,8192,1.0,0.7187,0.675,0.0901,0.2262,0.1296,0.2825,0.2717,0.488,-0.0075
8192,12288,1.0,0.7891,0.9562,0.0941,0.2025,0.1432,0.2933,0.267,0.4836,-0.0148
12288,16384,0.9999,0.8418,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4797,-0.0194
16384,20480,1.0,0.8813,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4763,-0.0228
20480,24576,1.0,0.911,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0231
24576,28672,1.0,0.9332,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4757,-0.0234
28672,32768,1.0,0.9499,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4748,-0.0243
32768,36864,1.0,0.9625,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4731,-0.026
36864,40960,1.0,0.9718,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4741,-0.0249
40960,45056,1.0,0.9789,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4732,-0.0259
45056,49152,1.0,0.9842,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4732,-0.0259
49152,53248,1.0,0.9881,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4712,-0.0279
53248,57344,1.0,0.9911,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4705,-0.0285
57344,61440,1.0,0.9933,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4712,-0.0279
61440,65536,1.0,0.995,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4696,-0.0295
65536,69632,1.0,0.9962,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4701,-0.0289
69632,73728,1.0,0.9972,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4695,-0.0295
73728,77824,1.0,0.9979,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4701,-0.029
77824,81920,1.0,0.9984,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4696,-0.0295
81920,86016,1.0,0.9988,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4702,-0.0289
86016,90112,1.0,0.9991,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4689,-0.0301
90112,94208,1.0,0.9993,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4698,-0.0292
94208,98304,1.0,0.9995,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4709,-0.0282
98304,100000,1.0,0.9996,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4696,-0.0295
100000,104096,1.0,0.9997,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4683,-0.0308
104096,108192,1.0,0.9998,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4694,-0.0297
108192,112288,1.0,0.9998,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4692,-0.0299
112288,116384,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4695,-0.0296
116384,120480,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4687,-0.0304
120480,124576,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4683,-0.0308
124576,128672,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4694,-0.0297
128672,132768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4683,-0.0308
132768,136864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4698,-0.0293
136864,140960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4673,-0.0317
140960,145056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4695,-0.0296
145056,149152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4684,-0.0307
149152,153248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4698,-0.0292
153248,157344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4686,-0.0305
157344,161440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4686,-0.0305
161440,165536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4688,-0.0303
165536,169632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4683,-0.0308
169632,173728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4681,-0.031
173728,177824,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.468,-0.0311
177824,181920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4679,-0.0312
181920,186016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.468,-0.0311
186016,190112,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4666,-0.0325
190112,194208,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4663,-0.0328
194208,198304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4655,-0.0335
198304,200000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4644,-0.0346
200000,204096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4637,-0.0354
204096,208192,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4632,-0.0358
208192,212288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4627,-0.0363
212288,216384,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4624,-0.0367
216384,220480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4619,-0.0372
220480,224576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4618,-0.0373
224576,228672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.462,-0.0371
228672,232768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4622,-0.0369
232768,236864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4624,-0.0367
236864,240960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4624,-0.0366
240960,245056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.463,-0.0361
245056,249152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.463,-0.0361
249152,253248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4624,-0.0367
253248,257344,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4621,-0.037
257344,261440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4619,-0.0372
261440,265536,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.462,-0.037
265536,269632,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4617,-0.0374
269632,273728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4614,-0.0377
273728,277824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4613,-0.0377
277824,281920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.461,-0.0381
281920,286016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4608,-0.0383
286016,290112,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4613,-0.0377
290112,294208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.461,-0.0381
294208,298304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4605,-0.0385
298304,300000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4603,-0.0388
300000,304096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4606,-0.0385
304096,308192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4603,-0.0388
308192,312288,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4602,-0.0389
312288,316384,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.456,-0.043
316384,320480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4511,-0.048
320480,324576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4468,-0.0522
324576,328672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4432,-0.0559
328672,332768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4402,-0.0589
332768,336864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4377,-0.0614
336864,340960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4355,-0.0636
340960,345056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4337,-0.0654
345056,349152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4321,-0.067
349152,353248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4308,-0.0683
353248,357344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4296,-0.0695
357344,361440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4286,-0.0705
361440,365536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4277,-0.0713
365536,369632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4272,-0.0719
369632,373728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4282,-0.0709
373728,377824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4279,-0.0712
377824,381920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4272,-0.0719
381920,386016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4266,-0.0725
386016,390112,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4264,-0.0727
390112,394208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4261,-0.073
394208,398304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4257,-0.0734
398304,400000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4253,-0.0738
400000,404096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4249,-0.0741
404096,408192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4247,-0.0744
408192,412288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4244,-0.0747
412288,416384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4243,-0.0748
416384,420480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4243,-0.0747
420480,424576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4243,-0.0748
424576,428672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4241,-0.075
428672,432768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.424,-0.0751
432768,436864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4239,-0.0752
436864,440960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4241,-0.075
440960,445056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4245,-0.0745
445056,449152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4249,-0.0742
449152,453248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4247,-0.0744
453248,457344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4254,-0.0737
457344,461440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.431,-0.0681
461440,465536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4356,-0.0635
465536,469632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4359,-0.0632
469632,473728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4354,-0.0637
473728,477824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4344,-0.0646
477824,481920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4356,-0.0634
481920,486016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4392,-0.0599
486016,490112,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.442,-0.0571
490112,494208,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4441,-0.055
494208,498304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4425,-0.0566
498304,500000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4411,-0.0579
500000,504096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4397,-0.0593
504096,508192,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4413,-0.0578
508192,512288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4446,-0.0544
512288,516384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4484,-0.0507
516384,520480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4505,-0.0486
520480,524576,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4525,-0.0466
524576,528672,0.9998,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4544,-0.0447
528672,532768,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4551,-0.044
532768,536864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.456,-0.043
536864,540960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4572,-0.0418
540960,545056,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4582,-0.0408
545056,549152,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.459,-0.04
549152,553248,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4593,-0.0398
553248,557344,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4598,-0.0393
557344,561440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4601,-0.039
561440,565536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4604,-0.0387
565536,569632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4607,-0.0383
569632,573728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4611,-0.038
573728,577824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4613,-0.0378
577824,581920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4609,-0.0381
581920,586016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4611,-0.0379
586016,590112,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4619,-0.0371
590112,594208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4618,-0.0373
594208,598304,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.461,-0.038
598304,600000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4598,-0.0392
600000,604096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4599,-0.0391
604096,608192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4603,-0.0388
608192,612288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4601,-0.039
612288,616384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4598,-0.0393
616384,620480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4596,-0.0394
620480,624576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4599,-0.0392
624576,628672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4609,-0.0381
628672,632768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4604,-0.0386
632768,636864,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4605,-0.0386
636864,640960,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4608,-0.0383
640960,645056,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4609,-0.0382
645056,649152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4614,-0.0376
649152,653248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4614,-0.0376
653248,657344,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4608,-0.0382
657344,661440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4604,-0.0387
661440,665536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4601,-0.039
665536,669632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4602,-0.0389
669632,673728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4607,-0.0384
673728,677824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4605,-0.0386
677824,681920,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4604,-0.0387
681920,686016,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4602,-0.0389
686016,690112,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4603,-0.0387
690112,694208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4612,-0.0379
694208,698304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4614,-0.0377
698304,700000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4614,-0.0376
700000,704096,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4622,-0.0369
704096,708192,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4647,-0.0344
708192,712288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4668,-0.0323
712288,716384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4686,-0.0305
716384,720480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4712,-0.0279
720480,724576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4721,-0.027
724576,728672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4726,-0.0264
728672,732768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4731,-0.026
732768,736864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4738,-0.0253
736864,740960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4738,-0.0253
740960,745056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4738,-0.0252
745056,749152,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4741,-0.025
749152,753248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4742,-0.0248
753248,757344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4739,-0.0252
757344,761440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4735,-0.0256
761440,765536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4732,-0.0258
765536,769632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4733,-0.0257
769632,773728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4738,-0.0253
773728,777824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4745,-0.0246
777824,781920,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4746,-0.0245
781920,786016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4749,-0.0242
786016,790112,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4747,-0.0244
790112,794208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.475,-0.0241
794208,798304,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4752,-0.0239
798304,800000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4749,-0.0242
800000,804096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4748,-0.0243
804096,808192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4745,-0.0245
808192,812288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4744,-0.0247
812288,816384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4748,-0.0242
816384,820480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4749,-0.0242
820480,824576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4747,-0.0244
824576,828672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4751,-0.024
828672,832768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4754,-0.0236
832768,836864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4758,-0.0233
836864,840960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0232
840960,845056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4763,-0.0228
845056,849152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4764,-0.0227
849152,853248,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4763,-0.0228
853248,857344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4767,-0.0224
857344,861440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4765,-0.0225
861440,865536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4767,-0.0224
865536,869632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4767,-0.0224
869632,873728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4767,-0.0223
873728,877824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4766,-0.0225
877824,881920,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4766,-0.0225
881920,886016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4765,-0.0226
886016,890112,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4762,-0.0228
890112,894208,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0232
894208,898304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0232
898304,900000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0232
900000,904096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4759,-0.0232
904096,908192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4755,-0.0236
908192,912288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4756,-0.0235
912288,916384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4758,-0.0232
916384,920480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4755,-0.0236
920480,924576,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4742,-0.0249
924576,928672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4735,-0.0255
928672,932768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4743,-0.0248
932768,936864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4739,-0.0252
936864,940960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4736,-0.0254
940960,945056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4742,-0.0249
945056,949152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4731,-0.0259
949152,953248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.473,-0.026
953248,957344,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4734,-0.0257
957344,961440,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4736,-0.0255
961440,965536,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4743,-0.0247
965536,969632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4739,-0.0252
969632,973728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4736,-0.0254
